cyc,freq,Charge Time,Wiggle Time,Pulse Time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
29,44.842,0.71,0.15,0.12,1.4,29,33674.1,-0.464289,55.8693,14.0346,78.5313,-0.501443,1208.65,372.23,-0.398059,1.40062,1.74426,1.17755,-0.647767,-45.0247,1245.59,-102.159,33905.6,45254.8,-0.114551,1.68412,2.31127,1.46106,-0.364259,0.535669,1308.75,-97.4814,33968.8,0.0316184,1.14989,-0.00531445,41391.9 
30,44.8,0.71,0.15,0.12,1.4,30,33990.9,-0.460184,56.4274,14.0095,78.7183,-0.695375,321.615,436.817,1.39079,0.905483,3.84293,1.79003,1.26257,33.561,517.471,-109.901,35063.6,33014.3,1.17947,0.694158,3.42028,1.5787,1.05125,0.568357,470.398,-113.388,35016.5,0.0112563,1.7296,-0.00600078,41789.9 
31,44.83,0.47,0.39,0.12,1.4,31,36667,-0.391365,63.7795,13.1836,78.9348,-0.00344339,-158.656,297.675,1.6051,2.46593,2.76417,4.052,0.830343,-19.3123,14864.4,137.388,23192.2,27390,1.7267,2.58754,3.00738,4.17361,0.951948,0.758389,14891.5,139.395,23219.3,0.352126,0.983883,0.010938,42290.2 
32,44.812,0.71,0.15,0.12,1.4,32,34204.9,-0.445545,59.3577,13.3672,78.7861,-0.488762,811.998,37.7622,1.44641,2.56745,1.65379,5.83807,0.681147,12.359,6362.43,21.6841,29442.5,38748.9,1.36859,2.48962,1.49815,5.76024,0.603326,0.872171,6345.09,20.4001,29425.2,0.154507,0.994405,0.00127548,41066.8 
33,44.83,0.71,0.15,0.12,1.4,33,36372.7,-0.432963,60.7559,13.8121,78.6769,-0.284775,268.841,135.851,-0.684043,2.4699,5.05634,2.05243,-0.540206,-1.876,6451.6,-16.1192,31278,29810,-0.672231,2.48171,5.07997,2.06424,-0.528393,0.397058,6454.23,-15.9243,31280.6,0.148834,1.00434,-0.000938654,43365.4 
34,44.836,0.55,0.31,0.12,1.4,34,32170,-0.144054,54.9473,13.5966,78.8992,0.173847,41.7565,359.594,0.329323,-0.19584,5.02493,1.09615,-0.931763,6.57985,661.16,-102.243,33102.8,24556.7,0.287891,-0.237271,4.94206,1.05472,-0.973194,0.0260428,651.931,-102.927,33093.6,0.0164205,1.38177,-0.00576227,39702.4 
35,44.812,0.51,0.35,0.12,1.4,35,35025.3,-0.424036,57.6522,14.0305,78.7751,-0.125651,-184.817,6.19085,-1.89244,0.379543,5.82271,2.51937,-0.414048,7.62093,1914.56,-68.8772,34557.1,27088,-1.94042,0.331556,5.72674,2.47139,-0.462035,0.0653615,1903.87,-69.669,34546.4,0.0446199,1.06842,-0.00372879,42668.6 
36,44.8,0.47,0.39,0.12,1.4,36,33943.3,-0.147742,54.911,14.171,78.6042,-0.349088,413.135,5.01187e-08,0.946524,0.12754,0.314271,2.6955,-1.09537,-32.0452,418.07,-99.0232,34921.4,30026.1,1.1483,0.329321,0.717831,2.89728,-0.893594,0.829053,463.017,-95.6938,34966.4,0.0110973,1.56661,-0.0050669,41723.4 
37,44.842,0.51,0.35,0.12,1.4,37,34702.2,-0.46213,56.8676,14.1765,78.6081,-0.267048,355.566,34.7893,-0.103141,1.01255,0.046213,-2.5884,1.14106,-2.81503,1241.01,-122.717,34990.5,29335.1,-0.0854151,1.03027,0.0816639,-2.57067,1.15878,1.21191,1244.96,-122.424,34994.5,0.0292666,1.20786,-0.00648621,42538.4 
38,44.809,0.51,0.35,0.12,1.4,38,35865.4,-0.0310633,58.5072,14.0128,78.4813,-0.0553798,91.9021,500,-0.44481,0.0723068,-1.97165,-2.18453,-1.01566,-18.7686,1105.38,-101.595,36344.9,26854.5,-0.326629,0.190488,-1.73529,-2.06635,-0.897483,0.641118,1131.71,-99.6451,36371.3,0.0256916,1.18215,-0.00507235,44049.8 
39,44.836,0.51,0.35,0.12,1.4,39,35794.3,-0.15151,60.7847,13.4662,78.868,-0.128383,367.16,500,-2.45938,-0.015463,3.08404,-0.345178,-0.703972,-2.50173,6686.9,-3.3927,30748.4,28180.6,-2.44363,0.000289762,3.11555,-0.329426,-0.688219,10.0192,6690.41,-3.13278,30751.9,0.155672,1.00082,-0.000187695,42977.7 
40,44.818,0.59,0.27,0.12,1.4,40,36609.5,-0.384489,63.6356,13.1707,79.1372,-0.30893,-625.899,476.048,-0.882076,0.384075,4.60447,0.926943,2.85815,13.5042,13790.1,118.09,24210.4,33578.2,-0.967108,0.299043,4.4344,0.841911,2.77312,0.399244,13771.2,116.687,24191.4,0.325429,0.985388,0.00880712,42317.1 
41,44.812,0.75,0.11,0.12,1.4,41,33835.4,-0.404069,58.8419,13.2691,78.8374,0.106311,151.661,403.933,-0.438096,1.95756,0.0158268,0.192185,-0.871198,27.393,5457.6,-25.6907,29932.3,25941.7,-0.610582,1.78507,-0.329146,0.0196983,-1.04368,-0.842524,5419.18,-28.5368,29893.9,0.133169,1.0093,-0.00176158,40693.9 
42,44.83,0.59,0.27,0.12,1.4,42,35071.7,-0.428829,60.0147,13.504,79.0889,-2.08063,4083.44,62.4128,-1.39462,-0.119402,-0.576117,2.13917,0.395495,-31.3871,6037.14,-21.372,30548.7,302960,-1.19698,0.0782342,-0.180845,2.33681,0.593131,1.11092,6081.16,-18.111,30592.7,0.14417,1.00524,-0.00109172,42180.6 
